number,name
1010,中國文學系
1011,中國文學系國際學生學士班
1020,外國語文學系
1030,歷史學系
1040,哲學系
1050,人類學系
1060,圖書資訊學系
1070,日本語文學系
1090,戲劇學系
2010,數學系
2020,物理學系
2030,化學系
2040,地質科學系
2070,心理學系
2080,地理環境資源學系
2090,大氣科學系
3021,政治學系政治理論組
3022,政治學系國際關係組
3023,政治學系公共行政組
3030,經濟學系
3050,社會學系
3100,社會工作學系
4010,醫學系
4020,牙醫學系
4030,藥學系
4040,醫學檢驗暨生物技術學系
4060,護理學系
4080,物理治療學系
4090,職能治療學系
4120,學士後護理學系
5010,土木工程學系
5020,機械工程學系
5040,化學工程學系
5050,工程科學及海洋工程學系
5070,材料科學與工程學系
5080,醫學工程學系
6010,農藝學系
6020,生物環境系統工程學系
6030,農業化學系
6050,森林環境暨資源學系
6060,動物科學技術學系
6070,農業經濟學系
6080,園藝暨景觀學系
6090,獸醫學系
6100,生物產業傳播暨發展學系
6110,生物產業機電工程學系
6120,昆蟲學系
6130,植物病理與微生物學系
7011,工商管理學系企業管理組
7012,工商管理學系科技管理組
7020,會計學系
7030,財務金融學系
7040,國際企業學系
7050,資訊管理學系
8010,公共衛生學系
9010,電機工程學系
9020,資訊工程學系
A011,法律學系法學組
A012,法律學系司法組
A013,法律學系財經法學組
B010,生命科學系
B020,生化科技學系
sum, 
